user_id,timestamp,decision_timestamp,decision,proximal_outcome_timestamp,proximal_outcome,step_count
user_0,2022-06-01T09:05:00-05:00,2022-06-01 08:30:00,1,2022-06-01 09:00:00,45,229
user_0,2022-06-01T12:35:00-05:00,2022-06-01 12:00:00,1,2022-06-01 12:30:00,4,1
user_0,2022-06-01T15:35:00-05:00,2022-06-01 15:00:00,0,2022-06-01 15:30:00,58,397
user_0,2022-06-01T18:05:00-05:00,2022-06-01 17:30:00,0,2022-06-01 18:00:00,0,0
user_0,2022-06-01T20:35:00-05:00,2022-06-01 20:00:00,1,2022-06-01 20:30:00,7,5
user_1,2022-06-01T09:05:00-05:00,2022-06-01 08:30:00,0,2022-06-01 09:00:00,110,753
user_1,2022-06-01T12:35:00-05:00,2022-06-01 12:00:00,1,2022-06-01 12:30:00,5,1
user_1,2022-06-01T15:35:00-05:00,2022-06-01 15:00:00,1,2022-06-01 15:30:00,103,870
user_1,2022-06-01T18:05:00-05:00,2022-06-01 17:30:00,0,2022-06-01 18:00:00,12,30
user_1,2022-06-01T20:35:00-05:00,2022-06-01 20:00:00,1,2022-06-01 20:30:00,59,463
user_2,2022-06-01T09:05:00-05:00,2022-06-01 08:30:00,1,2022-06-01 09:00:00,38,122
user_2,2022-06-01T12:35:00-05:00,2022-06-01 12:00:00,1,2022-06-01 12:30:00,23,25
user_2,2022-06-01T15:35:00-05:00,2022-06-01 15:00:00,1,2022-06-01 15:30:00,4,1
user_2,2022-06-01T18:05:00-05:00,2022-06-01 17:30:00,1,2022-06-01 18:00:00,4,1
user_2,2022-06-01T20:35:00-05:00,2022-06-01 20:00:00,1,2022-06-01 20:30:00,49,299
user_3,2022-06-01T09:05:00-05:00,2022-06-01 08:30:00,1,2022-06-01 09:00:00,6,1
user_3,2022-06-01T12:35:00-05:00,2022-06-01 12:00:00,1,2022-06-01 12:30:00,42,353
user_3,2022-06-01T15:35:00-05:00,2022-06-01 15:00:00,1,2022-06-01 15:30:00,78,456
user_3,2022-06-01T18:05:00-05:00,2022-06-01 17:30:00,0,2022-06-01 18:00:00,16,33
user_3,2022-06-01T20:35:00-05:00,2022-06-01 20:00:00,1,2022-06-01 20:30:00,48,728
user_4,2022-06-01T09:05:00-05:00,2022-06-01 08:30:00,1,2022-06-01 09:00:00,15,13
user_4,2022-06-01T12:35:00-05:00,2022-06-01 12:00:00,1,2022-06-01 12:30:00,13,10
user_4,2022-06-01T15:35:00-05:00,2022-06-01 15:00:00,0,2022-06-01 15:30:00,0,0
user_4,2022-06-01T18:05:00-05:00,2022-06-01 17:30:00,0,2022-06-01 18:00:00,12,19
user_4,2022-06-01T20:35:00-05:00,2022-06-01 20:00:00,0,2022-06-01 20:30:00,0,0
user_5,2022-06-01T09:05:00-05:00,2022-06-01 08:30:00,1,2022-06-01 09:00:00,109,634
user_5,2022-06-01T12:35:00-05:00,2022-06-01 12:00:00,0,2022-06-01 12:30:00,0,0
user_5,2022-06-01T15:35:00-05:00,2022-06-01 15:00:00,1,2022-06-01 15:30:00,79,590
user_5,2022-06-01T18:05:00-05:00,2022-06-01 17:30:00,1,2022-06-01 18:00:00,62,357
